tanggal,kabupaten_kota,pasar,komoditas,varian,satuan,harga,diambil_pada_utc
2024-07-09,Kab. Gunungkidul,Pasar Argosari,Minyak Sawit,Minyak Goreng Sawit Kemasan Premium,lt,18000,2026-08-31
2024-07-09,Kab. Gunungkidul,Pasar Argosari,Minyak Sawit,Minyakita,lt,15000,2026-08-31
2024-07-09,Kab. Gunungkidul,Pasar Argosari,Pisang,Pisang Lokal,kg,19000,2026-08-31
2024-07-09,Kab. Gunungkidul,Pasar Argosari,Sawi Hijau,Sawi Hijau,kg,10000,2026-08-31
2024-07-09,Kab. Gunungkidul,Pasar Argosari,Susu,Susu Bubuk,400gr,43000,2026-08-31
2024-07-09,Kab. Gunungkidul,Pasar Argosari,Susu,Susu Bubuk Balita,400gr,39800,2026-08-31
2024-07-09,Kab. Gunungkidul,Pasar Argosari,Susu,Susu Kental Manis,370gr,17800,2026-08-31
2024-07-09,Kab. Gunungkidul,Pasar Argosari,Telur Ayam,Telur Ayam Kampung,kg,40000,2026-08-31
2024-07-09,Kab. Gunungkidul,Pasar Argosari,Telur Ayam,Telur Ayam Ras,kg,27000,2026-08-31
2024-07-09,Kab. Gunungkidul,Pasar Argosari,Tepung Terigu,Tepung Terigu,kg,12000,2026-08-31
2024-07-09,Kab. Gunungkidul,Pasar Argosari,Tomat,Tomat,kg,10000,2026-08-31
2024-07-09,Kab. Gunungkidul,Pasar Argosari,Udang,Udang Basah,kg,80000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Bawang,Bawang Bombai,kg,36000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Bawang,Bawang Merah,kg,23000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Bawang,Bawang Putih Honan,kg,35000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Bawang,Bawang Putih Kating,kg,42000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Beras,Beras Khusus,kg,21000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Beras,Beras Medium,kg,12950,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Beras,Beras Premium,kg,14450,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Beras,Beras SPHP Bulog,kg,12500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Cabai,Cabai Merah Besar,kg,41000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Cabai,Cabai Merah Keriting,kg,35000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Cabai,Cabai Rawit Hijau,kg,39000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Cabai,Cabai Rawit Merah,kg,39000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Daging Ayam,Daging Ayam Kampung,ekor,105000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Daging Ayam,Daging Ayam Ras,kg,34000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Paha Belakang,kg,130000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Paha Depan,kg,130000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,80000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Tetelan,kg,70000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Garam,Garam Halus,kg,12000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Gula,Gula Pasir Curah,kg,17000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Gula,Gula Pasir Kemasan,kg,17000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Ikan,Ikan Bandeng,kg,42000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Ikan,Ikan Teri,kg,41000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Ikan,Ikan Tongkol,kg,33000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Jeruk,Jeruk Lokal,kg,20000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Kacang Panjang,Kacang Panjang,kg,8000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Kacang-Kacangan,Kacang Hijau,kg,19000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Kacang-Kacangan,Kacang Tanah,kg,29000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Kangkung,Kangkung,kg,6000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Kedelai Impor,kg,10400,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Kedelai Lokal,kg,13000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Tahu Putih,kg,9500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Tempe Bungkus,kg,15500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Kentang,Kentang Sedang,kg,17000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Ketela Pohon,Ketela Pohon,kg,6000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Ketimun,Ketimun Sedang,kg,5000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Mie Instan,Mie Instan,bks,3000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Minyak Sawit,Minyak Goreng Sawit Curah,lt,16000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Minyak Sawit,Minyak Goreng Sawit Kemasan Premium,lt,17000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Minyak Sawit,Minyakita,lt,16000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Pisang,Pisang Lokal,kg,18000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Sawi Hijau,Sawi Hijau,kg,6000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Susu,Susu Kental Manis,370gr,12500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Telur Ayam,Telur Ayam Kampung,kg,50000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Telur Ayam,Telur Ayam Ras,kg,27000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Tepung Terigu,Tepung Terigu,kg,9000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Tomat,Tomat,kg,6000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Beringharjo,Udang,Udang Basah,kg,81000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Bawang,Bawang Bombai,kg,41667,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Bawang,Bawang Merah,kg,26000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Bawang,Bawang Putih Honan,kg,36000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Bawang,Bawang Putih Kating,kg,40000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Beras,Beras Medium,kg,13567,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Beras,Beras Premium,kg,14300,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Beras,Beras SPHP Bulog,kg,12500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Cabai,Cabai Merah Besar,kg,42000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Cabai,Cabai Merah Keriting,kg,37000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Cabai,Cabai Rawit Hijau,kg,42000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Cabai,Cabai Rawit Merah,kg,42000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Daging Ayam,Daging Ayam Kampung,ekor,105000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Daging Ayam,Daging Ayam Ras,kg,37000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Daging Ruminansia,Daging Sapi Paha Belakang,kg,135000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Daging Ruminansia,Daging Sapi Paha Depan,kg,130000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,101667,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Daging Ruminansia,Daging Sapi Tetelan,kg,80000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Garam,Garam Halus,kg,16000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Gula,Gula Pasir Curah,kg,17000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Gula,Gula Pasir Kemasan,kg,17000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Ikan,Ikan Bandeng,kg,34000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Ikan,Ikan Kembung,kg,38000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Ikan,Ikan Teri,kg,44667,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Ikan,Ikan Tongkol,kg,36000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Jagung,Jagung Lokal Pipilan,kg,10833,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Jeruk,Jeruk Lokal,kg,20000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Kacang Panjang,Kacang Panjang,kg,9000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Kacang-Kacangan,Kacang Hijau,kg,22667,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Kacang-Kacangan,Kacang Tanah,kg,29000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Kangkung,Kangkung,kg,6000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Kedelai,Kedelai Impor,kg,13500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Kedelai,Tahu Putih,kg,12333,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Kedelai,Tempe Bungkus,kg,12000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Kentang,Kentang Sedang,kg,20000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Ketela Pohon,Ketela Pohon,kg,6000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Ketimun,Ketimun Sedang,kg,6000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Mie Instan,Mie Instan,bks,3000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Minyak Sawit,Minyak Goreng Sawit Curah,lt,16000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Minyak Sawit,Minyak Goreng Sawit Kemasan Premium,lt,17000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Minyak Sawit,Minyakita,lt,16000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Pisang,Pisang Lokal,kg,15000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Sawi Hijau,Sawi Hijau,kg,6000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Susu,Susu Kental Manis,370gr,13000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Telur Ayam,Telur Ayam Kampung,kg,60000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Telur Ayam,Telur Ayam Ras,kg,27000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Tepung Terigu,Tepung Terigu,kg,11000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Tomat,Tomat,kg,7000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Demangan,Udang,Udang Basah,kg,85000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Bawang,Bawang Bombai,kg,45000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Bawang,Bawang Merah,kg,30000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Bawang,Bawang Putih Honan,kg,35000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Bawang,Bawang Putih Kating,kg,45000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Beras,Beras Medium,kg,13500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Beras,Beras SPHP Bulog,kg,12500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Cabai,Cabai Merah Besar,kg,41000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Cabai,Cabai Merah Keriting,kg,37000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Cabai,Cabai Rawit Hijau,kg,40000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Cabai,Cabai Rawit Merah,kg,42000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Daging Ayam,Daging Ayam Kampung,ekor,105000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Daging Ayam,Daging Ayam Ras,kg,36000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Daging Ruminansia,Daging Sapi Paha Belakang,kg,130000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Daging Ruminansia,Daging Sapi Paha Depan,kg,130000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,125000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Daging Ruminansia,Daging Sapi Tetelan,kg,85000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Garam,Garam Halus,kg,12000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Gula,Gula Pasir Curah,kg,17000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Gula,Gula Pasir Kemasan,kg,17000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Ikan,Ikan Bandeng,kg,41000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Ikan,Ikan Kembung,kg,39000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Ikan,Ikan Teri,kg,65000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Ikan,Ikan Tongkol,kg,34000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Jagung,Jagung Lokal Pipilan,kg,11500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Jeruk,Jeruk Lokal,kg,20000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Kacang Panjang,Kacang Panjang,kg,9000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Kacang-Kacangan,Kacang Hijau,kg,21000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Kacang-Kacangan,Kacang Tanah,kg,29000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Kangkung,Kangkung,kg,7000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Kedelai,Kedelai Impor,kg,16000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Kedelai,Tahu Putih,kg,12500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Kedelai,Tempe Bungkus,kg,15000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Kentang,Kentang Sedang,kg,20000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Ketela Pohon,Ketela Pohon,kg,6500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Ketimun,Ketimun Sedang,kg,7000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Mie Instan,Mie Instan,bks,3000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Minyak Sawit,Minyak Goreng Sawit Curah,lt,16000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Minyak Sawit,Minyak Goreng Sawit Kemasan Premium,lt,18000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Minyak Sawit,Minyakita,lt,16000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Pisang,Pisang Lokal,kg,16500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Sawi Hijau,Sawi Hijau,kg,7000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Susu,Susu Kental Manis,370gr,12500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Telur Ayam,Telur Ayam Kampung,kg,65000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Telur Ayam,Telur Ayam Ras,kg,27000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Tepung Terigu,Tepung Terigu,kg,10000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Tomat,Tomat,kg,6000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Kranggan Yogayakarta,Udang,Udang Basah,kg,75000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Bombai,kg,40000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Merah,kg,30000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Putih Honan,kg,37333,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Bawang,Bawang Putih Kating,kg,40000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Beras,Beras Khusus,kg,19667,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Beras,Beras Medium,kg,14667,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Beras,Beras SPHP Bulog,kg,12500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Merah Besar,kg,46667,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Merah Keriting,kg,40667,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Rawit Hijau,kg,55000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Rawit Merah,kg,48333,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Daging Ayam,Daging Ayam Kampung,ekor,112500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Daging Ayam,Daging Ayam Ras,kg,35000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Daging Ruminansia,Daging Sapi Paha Belakang,kg,135000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Daging Ruminansia,Daging Sapi Paha Depan,kg,135000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,85000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Garam,Garam Halus,kg,12000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Gula,Gula Pasir Curah,kg,17500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Gula,Gula Pasir Kemasan,kg,20000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Ikan,Ikan Bandeng,kg,36000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Ikan,Ikan Teri,kg,52667,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Ikan,Ikan Tongkol,kg,30000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Jeruk,Jeruk Lokal,kg,20667,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Kacang Panjang,Kacang Panjang,kg,8000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Kacang-Kacangan,Kacang Hijau,kg,21667,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Kacang-Kacangan,Kacang Tanah,kg,28000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Kangkung,Kangkung,kg,7500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Kedelai Impor,kg,12000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Kedelai Lokal,kg,12000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Tahu Putih,kg,11000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Tempe Bungkus,kg,16833,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Kentang,Kentang Sedang,kg,20000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Ketela Pohon,Ketela Pohon,kg,6000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Ketimun,Ketimun Sedang,kg,6000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Mie Instan,Mie Instan,bks,2900,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Minyak Sawit,Minyak Goreng Sawit Curah,lt,15000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Minyak Sawit,Minyak Goreng Sawit Kemasan Premium,lt,18000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Minyak Sawit,Minyakita,lt,15500,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Pisang,Pisang Lokal,kg,16667,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Sawi Hijau,Sawi Hijau,kg,6000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Susu,Susu Kental Manis,370gr,12167,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Telur Ayam,Telur Ayam Kampung,kg,69000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Telur Ayam,Telur Ayam Ras,kg,27333,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Tepung Terigu,Tepung Terigu,kg,12000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Tomat,Tomat,kg,10000,2026-08-31
2024-07-09,Kota Yogyakarta,Pasar Prawirotaman,Udang,Udang Basah,kg,75000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Bombai,kg,35000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Merah,kg,26000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Putih Honan,kg,33000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Bawang,Bawang Putih Kating,kg,42000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Beras,Beras Medium,kg,14000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Beras,Beras Premium,kg,16000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Beras,Beras SPHP Bulog,kg,12500,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Merah Besar,kg,40000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Merah Keriting,kg,30000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Rawit Hijau,kg,40000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Cabai,Cabai Rawit Merah,kg,42000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Daging Ayam,Daging Ayam Kampung,ekor,98000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Daging Ayam,Daging Ayam Ras,kg,36000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Paha Belakang,kg,135000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Paha Depan,kg,100000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,80000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Daging Ruminansia,Daging Sapi Tetelan,kg,60000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Garam,Garam Halus,kg,13000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Gula,Gula Pasir Curah,kg,17000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Gula,Gula Pasir Kemasan,kg,18000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Ikan,Ikan Bandeng,kg,30000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Ikan,Ikan Teri,kg,75000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Ikan,Ikan Tongkol,kg,31000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Jeruk,Jeruk Lokal,kg,17000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Kacang Panjang,Kacang Panjang,kg,9000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Kacang-Kacangan,Kacang Hijau,kg,24000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Kacang-Kacangan,Kacang Tanah,kg,27000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Kangkung,Kangkung,kg,9000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Kedelai,Kedelai Impor,kg,13000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Kedelai,Kedelai Lokal,kg,20000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Kedelai,Tahu Putih,kg,12000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Kedelai,Tempe Bungkus,kg,13000,2026-08-31
2024-07-10,Kab. Gunungkidul,Pasar Argosari,Kentang,Kentang Sedang,kg,19000,2026-08-31
